"id","label"
"20140603_0003_BCCTC_tg_0_0_0","Bản"
"20140603_0003_BCCTC_tg_0_0_1","chất"
"20140603_0003_BCCTC_tg_0_0_2","của"
"20140603_0003_BCCTC_tg_0_0_3","thành"
"20140603_0003_BCCTC_tg_0_0_4","công"
"20140603_0003_BCCTC_tg_0_1_0","Đã"
"20140603_0003_BCCTC_tg_0_1_1","bao"
"20140603_0003_BCCTC_tg_0_1_10","mà"
"20140603_0003_BCCTC_tg_0_1_11","bao"
"20140603_0003_BCCTC_tg_0_1_12","kẻ"
"20140603_0003_BCCTC_tg_0_1_13","bỏ"
"20140603_0003_BCCTC_tg_0_1_14","cả"
"20140603_0003_BCCTC_tg_0_1_15","cuộc"
"20140603_0003_BCCTC_tg_0_1_16","đời"
"20140603_0003_BCCTC_tg_0_1_17","mình"
"20140603_0003_BCCTC_tg_0_1_18","theo"
"20140603_0003_BCCTC_tg_0_1_19","đuổi"
"20140603_0003_BCCTC_tg_0_1_2","giờ"
"20140603_0003_BCCTC_tg_0_1_21","Phải"
"20140603_0003_BCCTC_tg_0_1_3","bạn"
"20140603_0003_BCCTC_tg_0_1_4","tự"
"20140603_0003_BCCTC_tg_0_1_5","hỏi"
"20140603_0003_BCCTC_tg_0_1_6","thành"
"20140603_0003_BCCTC_tg_0_1_7","công"
"20140603_0003_BCCTC_tg_0_1_8","là"
"20140603_0003_BCCTC_tg_0_1_9","gì"
"20140603_0003_BCCTC_tg_0_2_0","chăng"
"20140603_0003_BCCTC_tg_0_2_1","đó"
"20140603_0003_BCCTC_tg_0_2_11","sự"
"20140603_0003_BCCTC_tg_0_2_12","chính"
"20140603_0003_BCCTC_tg_0_2_13","xác"
"20140603_0003_BCCTC_tg_0_2_14","đến"
"20140603_0003_BCCTC_tg_0_2_15","từng"
"20140603_0003_BCCTC_tg_0_2_16","chi"
"20140603_0003_BCCTC_tg_0_2_17","tiết"
"20140603_0003_BCCTC_tg_0_2_19","Hay"
"20140603_0003_BCCTC_tg_0_2_2","là"
"20140603_0003_BCCTC_tg_0_2_20","đó"
"20140603_0003_BCCTC_tg_0_2_3","kết"
"20140603_0003_BCCTC_tg_0_2_4","quả"
"20140603_0003_BCCTC_tg_0_2_5","hoàn"
"20140603_0003_BCCTC_tg_0_2_6","hảo"
"20140603_0003_BCCTC_tg_0_2_7","trong"
"20140603_0003_BCCTC_tg_0_2_8","công"
"20140603_0003_BCCTC_tg_0_2_9","việc"
"20140603_0003_BCCTC_tg_0_3_0","là"
"20140603_0003_BCCTC_tg_0_3_1","cách"
"20140603_0003_BCCTC_tg_0_3_10","là"
"20140603_0003_BCCTC_tg_0_3_11","có"
"20140603_0003_BCCTC_tg_0_3_12","được"
"20140603_0003_BCCTC_tg_0_3_13","một"
"20140603_0003_BCCTC_tg_0_3_14","cuộc"
"20140603_0003_BCCTC_tg_0_3_15","sống"
"20140603_0003_BCCTC_tg_0_3_16","giàu"
"20140603_0003_BCCTC_tg_0_3_17","sang"
"20140603_0003_BCCTC_tg_0_3_19","được"
"20140603_0003_BCCTC_tg_0_3_2","nói"
"20140603_0003_BCCTC_tg_0_3_3","khác"
"20140603_0003_BCCTC_tg_0_3_4","của"
"20140603_0003_BCCTC_tg_0_3_5","từ"
"20140603_0003_BCCTC_tg_0_3_6","thành"
"20140603_0003_BCCTC_tg_0_3_7","đạt"
"20140603_0003_BCCTC_tg_0_3_9","nghĩa"
"20140603_0003_BCCTC_tg_0_4_0","mọi"
"20140603_0003_BCCTC_tg_0_4_1","người"
"20140603_0003_BCCTC_tg_0_4_10","chút"
"20140603_0003_BCCTC_tg_0_4_11","thời"
"20140603_0003_BCCTC_tg_0_4_12","gian"
"20140603_0003_BCCTC_tg_0_4_13","để"
"20140603_0003_BCCTC_tg_0_4_14","lặng"
"20140603_0003_BCCTC_tg_0_4_15","mình"
"20140603_0003_BCCTC_tg_0_4_16","suy"
"20140603_0003_BCCTC_tg_0_4_17","ngẫm"
"20140603_0003_BCCTC_tg_0_4_2","nể"
"20140603_0003_BCCTC_tg_0_4_3","phục"
"20140603_0003_BCCTC_tg_0_4_5","Vậy"
"20140603_0003_BCCTC_tg_0_4_6","thì"
"20140603_0003_BCCTC_tg_0_4_7","bạn"
"20140603_0003_BCCTC_tg_0_4_8","hãy"
"20140603_0003_BCCTC_tg_0_4_9","dành"
"20140603_0003_BCCTC_tg_0_5_0","Cuộc"
"20140603_0003_BCCTC_tg_0_5_1","sống"
"20140603_0003_BCCTC_tg_0_5_10","được"
"20140603_0003_BCCTC_tg_0_5_11","thành"
"20140603_0003_BCCTC_tg_0_5_12","công"
"20140603_0003_BCCTC_tg_0_5_13","theo"
"20140603_0003_BCCTC_tg_0_5_14","một"
"20140603_0003_BCCTC_tg_0_5_2","sẽ"
"20140603_0003_BCCTC_tg_0_5_3","chỉ"
"20140603_0003_BCCTC_tg_0_5_4","cho"
"20140603_0003_BCCTC_tg_0_5_5","bạn"
"20140603_0003_BCCTC_tg_0_5_6","có"
"20140603_0003_BCCTC_tg_0_5_7","những"
"20140603_0003_BCCTC_tg_0_5_8","người"
"20140603_0003_BCCTC_tg_0_5_9","đạt"
"20140603_0003_BCCTC_tg_0_6_0","cách"
"20140603_0003_BCCTC_tg_0_6_1","giản"
"20140603_0003_BCCTC_tg_0_6_2","dị"
"20140603_0003_BCCTC_tg_0_6_3","đến"
"20140603_0003_BCCTC_tg_0_6_4","bất"
"20140603_0003_BCCTC_tg_0_6_5","ngờ"
"20140603_0003_BCCTC_tg_1_0_0","Thành"
"20140603_0003_BCCTC_tg_1_0_1","công"
"20140603_0003_BCCTC_tg_1_0_10","khí"
"20140603_0003_BCCTC_tg_1_0_11","bước"
"20140603_0003_BCCTC_tg_1_0_12","vào"
"20140603_0003_BCCTC_tg_1_0_13","bếp"
"20140603_0003_BCCTC_tg_1_0_15","nấu"
"20140603_0003_BCCTC_tg_1_0_16","những"
"20140603_0003_BCCTC_tg_1_0_17","món"
"20140603_0003_BCCTC_tg_1_0_18","ăn"
"20140603_0003_BCCTC_tg_1_0_19","mẹ"
"20140603_0003_BCCTC_tg_1_0_2","là"
"20140603_0003_BCCTC_tg_1_0_3","khi"
"20140603_0003_BCCTC_tg_1_0_4","bố"
"20140603_0003_BCCTC_tg_1_0_5","và"
"20140603_0003_BCCTC_tg_1_0_6","con"
"20140603_0003_BCCTC_tg_1_0_7","trai"
"20140603_0003_BCCTC_tg_1_0_8","có"
"20140603_0003_BCCTC_tg_1_0_9","dũng"
"20140603_0003_BCCTC_tg_1_1_0","thích"
"20140603_0003_BCCTC_tg_1_1_1","nhân"
"20140603_0003_BCCTC_tg_1_1_10","thể"
